ejec,pd_t,pf_t
1,0.080194833,0.000065958
2,0.078857541,0.000062042
3,0.078967416,0.000062208
4,0.077543625,0.000061291
5,0.077523458,0.000061333
6,0.078908792,0.000062209
7,0.077888458,0.00006175
8,0.080539791,0.000062542
9,0.078767875,0.000062042
10,0.079038625,0.000065583
11,0.078024958,0.000062417
12,0.077506625,0.000061458
13,0.077778625,0.000062042
14,0.0777565,0.000066458
15,0.079313292,0.000062417
16,0.077660833,0.000061625
17,0.077573167,0.000061667
18,0.077630875,0.00006175
19,0.080826375,0.00006725
20,0.07770225,0.000061542
21,0.077669334,0.0000615
22,0.077566375,0.000061292
23,0.077446541,0.0000615
24,0.077749166,0.000061375
25,0.077598167,0.000061375
26,0.077568792,0.000061459
27,0.077563084,0.000061625
28,0.077622708,0.00006525
29,0.077754459,0.000062125
30,0.077624792,0.000061375
