ejec,pd_t,pf_t
1,1.244724292,0.0002475
2,1.239746333,0.000246333
3,1.245498167,0.000246291
4,1.240178292,0.000247542
5,1.243091375,0.000246958
6,1.240746917,0.000246917
7,1.239667375,0.000246959
8,1.239775792,0.000247667
9,1.241275,0.000246417
10,1.244589792,0.000252542
11,1.239586458,0.000247125
12,1.242149042,0.000247125
13,1.240514416,0.000246833
14,1.243190167,0.000245625
15,1.288503666,0.000257125
16,1.2396435000000001,0.000246125
17,1.239768583,0.000247875
18,1.239431667,0.000248208
19,1.239720667,0.000248958
20,1.239989,0.000245958
21,1.240849583,0.000255
22,1.2396524580000001,0.000245875
23,1.239366208,0.000247083
24,1.241095541,0.000261583
25,1.280294333,0.000250875
26,1.2593018329999999,0.000246583
27,1.2483047919999999,0.000246917
28,1.239071291,0.000246166
29,1.241374083,0.00025025
30,1.277665458,0.00026125
