ejec,pd_t,pf_t
1,30.961012875,0.001241458
2,30.908926084,0.001449084
3,30.91410775,0.001329833
4,30.910221333,0.001292708
5,30.936067708,0.001303333
6,30.908908583,0.001310792
7,30.921323958,0.001290375
8,30.919226625,0.001280208
9,30.916819958,0.001375208
10,30.907376834,0.001295834
11,30.926198667,0.001351208
12,30.911948417,0.001290917
13,30.928609042,0.001492167
14,30.907207084,0.001436458
15,30.914584209,0.001368916
16,30.910769,0.001419958
17,30.922702042,0.001237459
18,30.911269125,0.001253917
19,30.916797708,0.001316333
20,30.922928042,0.001297458
21,30.91490625,0.001254583
22,30.916781125,0.00123175
23,30.922289083,0.001254292
24,30.912438083,0.001284083
25,30.922136292,0.001243334
26,30.906943292,0.001396541
27,30.917530458,0.001274958
28,30.915366917,0.00144175
29,30.917583916,0.001229333
30,30.927185584,0.001250292
