ejec,pd_t,pf_t
1,0.004762666,0.00001675
2,0.003925833,0.0000155
3,0.00391575,0.000014875
4,0.003722333,0.000015291
5,0.003743334,0.000014875
6,0.003577375,0.000014
7,0.0036035,0.000014167
8,0.003426542,0.000013334
9,0.003349542,0.000013167
10,0.003281458,0.00001275
11,0.003265375,0.00001275
12,0.003207917,0.000012416
13,0.003219167,0.000012458
14,0.003123709,0.0000125
15,0.003143625,0.000012458
16,0.003360167,0.000012458
17,0.00323025,0.0000125
18,0.003161334,0.00001725
19,0.003293834,0.0000125
20,0.003334583,0.000012833
21,0.003144792,0.0000125
22,0.003356167,0.000012875
23,0.003137708,0.000013208
24,0.00313175,0.000012375
25,0.003119625,0.000012292
26,0.003142708,0.000012666
27,0.00327075,0.000012583
28,0.003177625,0.000012375
29,0.003126041,0.000012375
30,0.003134583,0.000012416
