ejec,pd_t,pf_t
1,4.083e-6,2.125e-6
2,3e-6,1.041e-6
3,2.791e-6,1.042e-6
4,2.666e-6,1e-6
5,2.958e-6,1.042e-6
6,2.875e-6,1.041e-6
7,2.875e-6,1e-6
8,2.959e-6,1.042e-6
9,0.000028,1.333e-6
10,2.958e-6,9.59e-7
11,2.708e-6,1e-6
12,2.792e-6,9.58e-7
13,2.792e-6,1e-6
14,2.709e-6,1e-6
15,2.875e-6,1.041e-6
16,2.875e-6,1.042e-6
17,2.667e-6,9.58e-7
18,2.875e-6,1e-6
19,2.958e-6,9.58e-7
20,2.875e-6,1e-6
21,2.75e-6,9.58e-7
22,2.833e-6,1e-6
23,2.667e-6,1e-6
24,2.833e-6,1e-6
25,2.959e-6,9.17e-7
26,2.75e-6,9.58e-7
27,2.708e-6,9.59e-7
28,3e-6,1e-6
29,2.833e-6,1.041e-6
30,2.792e-6,9.59e-7
