ejec,pd_t,pf_t
1,0.000114292,6.917e-6
2,0.000111875,8e-6
3,0.000112458,7.5e-6
4,0.000112542,7.958e-6
5,0.000112041,7.958e-6
6,0.000115375,7.209e-6
7,0.000112208,7.208e-6
8,0.0001125,7.542e-6
9,0.000111584,7.542e-6
10,0.000111792,7.5e-6
11,0.000128958,7.042e-6
12,0.000122334,7.042e-6
13,0.000113375,6.583e-6
14,0.000111667,6.916e-6
15,0.000168125,6.916e-6
16,0.000099333,7.375e-6
17,0.000099666,6.667e-6
18,0.000099708,6.875e-6
19,0.00009975,7.125e-6
20,0.0000995,6.5e-6
21,0.000099916,6.125e-6
22,0.000099917,6.542e-6
23,0.00010025,6.5e-6
24,0.0001,5.958e-6
25,0.00009975,6.375e-6
26,0.00010025,6.625e-6
27,0.000100125,6.292e-6
28,0.000099334,6.458e-6
29,0.000099917,6.834e-6
30,0.000099833,7.458e-6
