ejec,pd_t,pf_t
1,7.919071708,0.000636667
2,7.923095625,0.000659833
3,7.948906125,0.000654166
4,7.917783958,0.000614208
5,7.908807958,0.000622958
6,7.875941958,0.00063925
7,8.118167167,0.000694333
8,8.109291375,0.000634
9,8.095211625,0.000626625
10,7.793487584,0.000615083
11,8.0925155,0.000620334
12,7.887032834,0.000615375
13,7.84913375,0.000615667
14,8.117026958,0.000650041
15,8.082464667,0.000635709
16,7.9657455,0.000616958
17,7.828736875,0.000613417
18,7.763945167,0.000614
19,7.840810583,0.0006145
20,7.896405958,0.000631083
21,8.133290667,0.000691542
22,8.381085458,0.000688625
23,7.818996042,0.000614042
24,7.884089666,0.000624041
25,7.752514417,0.000614083
26,7.79232325,0.000616666
27,7.815658459,0.000614792
28,7.825210875,0.00061425
29,7.945250875,0.000671667
30,7.808508875,0.000619292
