ejec,pd_t,pf_t
1,25.070140875,0.001105042
2,25.419605125,0.001153834
3,25.190969084,0.001158917
4,24.991741458,0.001136833
5,25.055853542,0.001111959
6,25.008061542,0.001147875
7,25.005531416,0.001118292
8,24.974491542,0.001103417
9,24.974913958,0.001173958
10,24.979959875,0.001120292
11,24.983276167,0.001178458
12,24.975449459,0.001108333
13,24.999920042,0.001149292
14,25.030869792,0.001105542
15,25.049924417,0.001248542
16,25.049651708,0.001175041
17,25.041296125,0.001339666
18,25.05328875,0.001145583
19,25.052418833,0.00117725
20,25.0479615,0.001109584
21,25.047731292,0.001139875
22,25.046880375,0.00129825
23,25.046313709,0.001113417
24,25.042724959,0.001202459
25,25.039309791,0.001104708
26,25.034231417,0.001261959
27,25.042918208,0.001128833
28,25.034798292,0.00117975
29,25.042722333,0.0012875
30,25.035968958,0.001312291
