ejec,pd_t,pf_t
1,11.16349575,0.000736083
2,11.214428625,0.000737959
3,11.300959875,0.000739542
4,11.197569708,0.000753209
5,11.158161833,0.000740208
6,11.388729625,0.000739084
7,11.354557125,0.000777334
8,11.739750083,0.000771042
9,11.623252958,0.00078175
10,11.300894958,0.000737375
11,11.211744,0.000745417
12,11.195433417,0.000735875
13,11.139545333,0.000737208
14,11.306922125,0.000776167
15,11.712412583999999,0.00077875
16,11.208396416,0.000746333
17,11.301732,0.000740625
18,11.216807625,0.000741
19,11.207885417,0.000747291
20,11.239735,0.000738458
21,11.20394775,0.000736833
22,11.362625459,0.000741667
23,11.869843333,0.001098292
24,11.24036075,0.000735791
25,11.192138917,0.00074
26,11.222325416,0.000735917
27,11.300618958,0.000737375
28,11.279495458,0.000809041
29,11.222468625,0.000740291
30,11.219466667,0.000740667
