ejec,pd_t,pf_t
1,5.015378292,0.000491416
2,4.964466916,0.000498791
3,5.01383125,0.000494584
4,5.014258167,0.00049325
5,4.9653198750000005,0.000491292
6,5.016851709,0.000492042
7,5.039822708,0.000510583
8,4.96392625,0.0004965
9,5.138446833,0.000500584
10,5.148290041,0.00055775
11,5.002868916,0.00050325
12,5.057684417,0.000498666
13,5.250380958,0.000490917
14,5.168109167,0.000501875
15,5.045060458,0.000492583
16,5.006408917,0.000494208
17,4.9796943339999995,0.000492583
18,5.042622375,0.000572208
19,5.103461042,0.000496875
20,5.030103625,0.000495834
21,5.128418,0.000541292
22,5.269251541,0.000501875
23,5.05932725,0.000530458
24,5.33906075,0.000504375
25,5.036626625,0.000494042
26,4.9584845,0.000491792
27,4.955637708,0.000492542
28,5.00284325,0.000492875
29,5.006628917,0.000502
30,5.168672,0.000507666
