ejec,pd_t,pf_t
1,0.313226584,0.000123792
2,0.310432209,0.000130542
3,0.310194,0.000126875
4,0.313826334,0.000124792
5,0.311346834,0.000124959
6,0.311429041,0.000123542
7,0.309943292,0.000122459
8,0.310017416,0.000123083
9,0.310027833,0.000126167
10,0.310228625,0.000123542
11,0.310129416,0.000128167
12,0.310164333,0.000122958
13,0.310125834,0.000122625
14,0.310325542,0.000122792
15,0.310213334,0.000122583
16,0.310356834,0.00012275
17,0.31132475,0.000123
18,0.316457041,0.000123042
19,0.309884625,0.000125791
20,0.310122416,0.000123375
21,0.310049167,0.000122625
22,0.310273375,0.000124459
23,0.310209875,0.000122666
24,0.310142666,0.000137458
25,0.310099875,0.00012275
26,0.310260417,0.00012375
27,0.310029166,0.000125125
28,0.310111,0.000122917
29,0.310267208,0.00012525
30,0.351119667,0.0001235
