ejec,pd_t,pf_t
1,20.534440083,0.00103925
2,20.469815167,0.001057709
3,21.195135375,0.001122334
4,20.972603125,0.0010625
5,20.366486167,0.0010255
6,20.306063667,0.001016958
7,20.096788708,0.000985958
8,19.980817041999998,0.001011333
9,20.265735583,0.001115416
10,21.0660265,0.001047083
11,20.295909917,0.001028333
12,20.057890167,0.000984334
13,19.931536041,0.001047958
14,20.272392,0.00106475
15,19.965450292,0.00098375
16,19.856953125,0.0009855
17,19.830575375,0.000991708
18,19.772755417,0.000982041
19,19.796046625,0.000981042
20,19.773723084,0.000995167
21,19.772283459,0.000998375
22,19.765912333,0.000984875
23,19.78012875,0.000986334
24,19.809260792,0.000984
25,19.9790215,0.001046167
26,19.828737834000002,0.000983875
27,19.804255708,0.000993375
28,19.814063209,0.000983334
29,19.807777583,0.000982917
30,19.81600375,0.000981458
