ejec,pd_t,pf_t
1,15.328011625,0.000906208
2,15.29855675,0.000879166
3,15.801212625,0.00093825
4,15.746975584,0.00099175
5,15.435675208,0.000866583
6,15.275214125,0.00086125
7,15.305420917,0.000858666
8,15.333050541,0.000885167
9,15.241373084,0.000862417
10,15.345426291,0.000870333
11,15.425915625,0.000861125
12,16.014275708,0.00095575
13,16.192994458,0.00103225
14,15.249293166,0.000862792
15,15.412593125,0.000984042
16,15.569548791999999,0.000956042
17,15.78502425,0.000860792
18,15.380844916,0.000882042
19,15.235086667,0.000861542
20,15.275860792,0.000859125
21,15.498470875,0.000880959
22,15.459762167,0.000868625
23,15.496684042,0.000869125
24,15.61021425,0.000904208
25,15.59329675,0.000859292
26,15.224545167,0.000859292
27,15.847034875,0.000960834
28,15.506463375,0.000865041
29,15.516131917,0.000861959
30,15.513035208,0.00087025
