ejec,pd_t,pf_t
1,0.000035833,0.000017125
2,0.000035958,4.833e-6
3,0.000045042,5e-6
4,0.000035667,4.208e-6
5,0.000036375,4.458e-6
6,0.000035625,4.125e-6
7,0.000035833,4.625e-6
8,0.0000355,4.625e-6
9,0.000035709,4.708e-6
10,0.0000665,4.416e-6
11,0.000068084,4.583e-6
12,0.000035708,4.292e-6
13,0.000035833,4.291e-6
14,0.000111166,4.625e-6
15,0.000112208,4.375e-6
16,0.000099875,4.792e-6
17,0.000035875,4.292e-6
18,0.000035875,4.083e-6
19,0.000035625,4.458e-6
20,0.00003575,4.792e-6
21,0.000035542,4.625e-6
22,0.000035917,4.25e-6
23,0.000035292,4.25e-6
24,0.000036083,4.75e-6
25,0.000035167,4.667e-6
26,0.000035833,4.625e-6
27,0.000036625,4.625e-6
28,0.000035542,4.208e-6
29,0.000035875,4.667e-6
30,0.00003525,4.667e-6
