ejec,is_t,ss_t,bs_t
1,0.49566525,2.439543958,7.037570917
2,0.490750834,2.438201041,7.049528083
3,0.489741375,2.422180333,7.050042208
4,0.4901805,2.427952459,7.030239375
5,0.488920416,2.413008583,7.02466225
6,0.491582167,2.410359209,7.027526959
7,0.491536458,2.44737875,7.045555917
8,0.490512583,2.417906583,7.019999417
9,0.491915833,2.431264083,7.021088291
10,0.492417917,2.4273133749999998,7.05043425
11,0.490847375,2.391387875,7.076443
12,0.494585084,2.455402834,7.067219792
13,0.490792417,2.412001041,7.059096834
14,0.4930285,2.41756975,7.078266667
15,0.495899833,2.38928775,7.052060375
16,0.489801625,2.398758833,7.0562085
17,0.497244083,2.421716,7.012598708
18,0.491756084,2.388127458,7.052695625
19,0.4908995,2.380821584,7.014905417
20,0.488775708,2.362226125,7.050201708
21,0.497805041,2.370286792,7.012030416
22,0.490227208,2.373114458,7.063133125
23,0.491778542,2.408785708,7.034829125
24,0.488994916,2.420002083,7.043243459
25,0.490400792,2.407609917,7.046187583
26,0.491681958,2.396370708,7.057908083
27,0.491613458,2.404121083,7.063810208
28,0.495331666,2.3961845,7.023405209
29,0.497020417,2.399446,7.091399792
30,0.493671625,2.388242375,7.042147083
