ejec,is_t,ss_t,bs_t
1,0.000165958,0.001667541,0.000907166
2,0.000169541,0.001534667,0.000779125
3,0.000143959,0.001447625,0.000790167
4,0.000146417,0.001441458,0.000811125
5,0.00014875,0.001417666,0.000694958
6,0.000125666,0.00131,0.000686875
7,0.000134833,0.0012905,0.000692875
8,0.000133875,0.001262542,0.000649375
9,0.000117,0.001196708,0.000637375
10,0.000117334,0.0011815,0.000624875
11,0.000116083,0.001185375,0.000661458
12,0.000115167,0.001151417,0.000581791
13,0.000112542,0.001114833,0.000604125
14,0.000118042,0.001105042,0.000597291
15,0.00011175,0.001097166,0.0005795
16,0.0001005,0.00103925,0.000556208
17,0.000103292,0.001037959,0.000570625
18,0.000109875,0.00103875,0.000619541
19,0.000106083,0.001045666,0.000573708
20,0.000103458,0.001010167,0.000535209
21,0.000099125,0.0010005,0.0005565
22,0.000097959,0.001001042,0.000521833
23,0.000094125,0.000950458,0.000520625
24,0.000092958,0.000950167,0.000507375
25,0.000097458,0.000954333,0.000532
26,0.0000935,0.000936,0.000502875
27,0.000093209,0.000918959,0.000511833
28,0.000092833,0.000904583,0.000520583
29,0.000091375,0.000912667,0.000509458
30,0.000089334,0.000919584,0.000484125
