ejec,is_t,ss_t,bs_t
1,0.007568416,0.055345583,0.070071458
2,0.007539291,0.054821417,0.068593083
3,0.007422041,0.05688525,0.070252292
4,0.007596041,0.05391675,0.070339625
5,0.007476167,0.055489458,0.0691135
6,0.007634209,0.054203209,0.068802792
7,0.007589709,0.054285291,0.07076
8,0.007641333,0.054778375,0.070557083
9,0.007539416,0.055824,0.06992725
10,0.007638125,0.055041375,0.071197416
11,0.007562666,0.055017792,0.069826917
12,0.00759825,0.054368958,0.068245208
13,0.007576958,0.055090542,0.068830875
14,0.007594417,0.054181875,0.069559375
15,0.007451167,0.055481042,0.070494625
16,0.007569625,0.054820916,0.070719625
17,0.007473667,0.057591,0.069988542
18,0.007974583,0.056328542,0.0686155
19,0.008255833,0.055888583,0.069254459
20,0.007582417,0.054756459,0.071634541
21,0.007558667,0.054944583,0.068572542
22,0.00749275,0.053254709,0.070967625
23,0.007426167,0.053224916,0.068644625
24,0.007511709,0.05471075,0.072779292
25,0.007857875,0.057517083,0.074350875
26,0.007904792,0.058128,0.071873208
27,0.00871425,0.06170125,0.076155083
28,0.008094333,0.065242958,0.090735416
29,0.008332458,0.064363666,0.075592792
30,0.007920667,0.058974625,0.074449708
