ejec,is_t,ss_t,bs_t
1,0.073604541,0.390096667,0.903413416
2,0.070333,0.386943125,0.886186084
3,0.070722,0.384297709,0.891304167
4,0.070120042,0.385596916,0.884580083
5,0.069827333,0.390920375,0.886989958
6,0.070229875,0.3867925,0.888992833
7,0.069702333,0.389210417,0.884548708
8,0.069296333,0.379164833,0.884701459
9,0.069655792,0.382109875,0.88299975
10,0.069676666,0.37988325,0.883961125
11,0.069775959,0.388056417,0.884035875
12,0.070083208,0.386241083,0.893100125
13,0.06977325,0.388589,0.89155325
14,0.069719,0.38157,0.883436042
15,0.072457459,0.38138275,0.887836083
16,0.0697235,0.38517375,0.883185833
17,0.070212875,0.382915875,0.882043
18,0.070260209,0.383775083,0.88705875
19,0.069518792,0.392606709,0.888486792
20,0.070181792,0.380454875,0.889058
21,0.070554333,0.375910917,0.885742041
22,0.069570208,0.3841275,0.886236125
23,0.070337875,0.394752625,0.892323542
24,0.070065084,0.38045225,0.887698542
25,0.0698995,0.384445834,0.890439666
26,0.07005625,0.37979275,0.889408541
27,0.07017975,0.397996708,0.88722275
28,0.070117583,0.394158917,0.882009166
29,0.070456667,0.3877665,0.884313208
30,0.069775292,0.385336833,0.888888333
