ejec,is_t,ss_t,bs_t
1,0.128073875,0.660603,1.606576709
2,0.124428542,0.653648041,1.631475167
3,0.124766625,0.667953542,1.6261809999999999
4,0.123686625,0.65184775,1.624196416
5,0.124196708,0.659008208,1.6230724159999999
6,0.124273292,0.644015792,1.631016083
7,0.124072708,0.665702667,1.631235083
8,0.123643667,0.723441709,1.632569917
9,0.123962333,0.6588675,1.6128875
10,0.124020458,0.676647583,1.614171458
11,0.124151875,0.667233333,1.62014525
12,0.123474083,0.674767917,1.6623576249999998
13,0.1238455,0.655205709,1.654535292
14,0.124340125,0.658788375,1.650792542
15,0.124457375,0.680352208,1.661554333
16,0.124208583,0.668839875,2.057265833
17,0.150986125,0.750427417,1.768473792
18,0.127933875,0.705887959,1.732334125
19,0.123793,0.740075375,1.631862875
20,0.123566875,0.651548625,1.6483159170000001
21,0.123961542,0.682219209,1.673773208
22,0.128538708,0.683582542,1.7022804169999999
23,0.127773792,0.655516458,1.6975838749999999
24,0.124834833,0.694702792,1.6711551249999999
25,0.123762041,0.672143708,1.66398325
26,0.126374791,0.679313208,1.6777856660000001
27,0.125015208,0.673492542,1.668519917
28,0.124027917,0.675924666,1.6682694580000001
29,0.123790084,0.661251291,1.659208375
30,0.124756833,0.654733667,1.668489916
