ejec,is_t,ss_t,bs_t
1,2.5e-7,4.59e-7,3.34e-7
2,2.5e-7,2.92e-7,4.17e-7
3,8.3e-8,2.5e-7,4.16e-7
4,2.08e-7,2.08e-7,3.33e-7
5,1.25e-7,2.5e-7,4.16e-7
6,1.67e-7,2.09e-7,2.92e-7
7,1.66e-7,2.5e-7,2.91e-7
8,1.25e-7,2.5e-7,3.75e-7
9,1.67e-7,2.08e-7,2.92e-7
10,1.66e-7,2.5e-7,2.91e-7
11,1.67e-7,2.09e-7,3.34e-7
12,1.25e-7,2.5e-7,2.91e-7
13,1.67e-7,2.5e-7,2.92e-7
14,1.25e-7,2.5e-7,3.33e-7
15,1.25e-7,2.5e-7,2.92e-7
16,1.25e-7,2.5e-7,3.75e-7
17,1.67e-7,2.08e-7,2.91e-7
18,1.67e-7,2.5e-7,2.92e-7
19,1.67e-7,2.09e-7,3.34e-7
20,1.25e-7,2.5e-7,3.33e-7
21,1.66e-7,2.5e-7,3.75e-7
22,1.67e-7,2.08e-7,3.33e-7
23,1.67e-7,2.09e-7,3.34e-7
24,1.66e-7,2.08e-7,2.92e-7
25,1.66e-7,2.5e-7,3.75e-7
26,1.66e-7,2.08e-7,2.5e-7
27,1.25e-7,2.5e-7,4.58e-7
28,1.66e-7,2.08e-7,2.5e-7
29,1.66e-7,2.5e-7,3.33e-7
30,1.25e-7,2.09e-7,2.92e-7
