ejec,is_t,ss_t,bs_t
1,0.208162167,0.994574959,2.657243792
2,0.204759375,1.002694125,2.6526685
3,0.20450375,0.994426458,2.651843042
4,0.204105125,1.012634625,2.637551167
5,0.204795084,1.002497667,2.63790475
6,0.208261167,0.994167167,2.6296255410000002
7,0.20429925,1.002525,2.578612459
8,0.205142166,1.004837125,2.580690375
9,0.20353925,0.990054,2.594702458
10,0.202721167,1.007560166,2.619036167
11,0.204095583,0.989126125,2.58158025
12,0.203909542,0.993438292,2.581936625
13,0.203711875,0.994225,2.581134125
14,0.204236291,0.99666375,2.583127625
15,0.204874041,1.005929292,2.660918584
16,0.204152083,0.99260075,2.617664291
17,0.202107583,0.993981292,2.573708083
18,0.203570875,1.004303333,2.589489042
19,0.203158625,0.99717225,2.616212958
20,0.203799917,1.041861625,2.6124759170000003
21,0.20550525,1.011076,2.626494458
22,0.204356125,0.999108792,2.6608592079999998
23,0.204498167,1.0209115,2.631193792
24,0.203805625,1.002046584,2.6627882080000003
25,0.203298875,0.990693791,2.60115725
26,0.203793542,0.995722333,2.645030459
27,0.205170709,1.007667667,2.7409185000000003
28,0.219613333,1.011551584,2.678681167
29,0.205564375,0.998670375,2.786720125
30,0.21623625,1.093903417,2.776458459
