ejec,is_t,ss_t,bs_t
1,1.5e-6,4.5e-6,5.625e-6
2,1.333e-6,4.334e-6,5.292e-6
3,1.291e-6,3.875e-6,5.541e-6
4,1.291e-6,4.042e-6,5.375e-6
5,1.208e-6,4.042e-6,5.209e-6
6,1.041e-6,4.042e-6,5.417e-6
7,1.083e-6,4.125e-6,5.709e-6
8,1.125e-6,3.958e-6,5.167e-6
9,1.125e-6,3.875e-6,5.291e-6
10,1.084e-6,4e-6,5.583e-6
11,1.041e-6,3.875e-6,5.625e-6
12,1.167e-6,3.916e-6,5.792e-6
13,9.59e-7,3.917e-6,0.000011708
14,1.292e-6,4.292e-6,5.708e-6
15,1.209e-6,3.959e-6,5.792e-6
16,1.167e-6,3.958e-6,5.666e-6
17,1.125e-6,3.875e-6,5.584e-6
18,1.166e-6,3.958e-6,5.542e-6
19,1.125e-6,4.125e-6,5.791e-6
20,1.125e-6,3.959e-6,5.459e-6
21,1.125e-6,4e-6,5.833e-6
22,1.125e-6,4e-6,5.792e-6
23,1.209e-6,4.042e-6,5.5e-6
24,1.166e-6,4.167e-6,5.834e-6
25,1.041e-6,3.917e-6,5.375e-6
26,1e-6,4e-6,5.542e-6
27,1.083e-6,3.917e-6,5.833e-6
28,1.042e-6,3.958e-6,5.5e-6
29,1.083e-6,4.125e-6,5.5e-6
30,9.17e-7,4.042e-6,5.583e-6
