ejec,is_t,ss_t,bs_t
1,0.294294167,1.42314625,3.866902875
2,0.275892166,1.393610917,3.8702802910000003
3,0.276036417,1.393751666,3.919356458
4,0.2791105,1.382710958,3.87612075
5,0.277505708,1.403571625,3.887571708
6,0.276570833,1.4335035409999999,3.844294083
7,0.279680083,1.400845833,3.8535366250000003
8,0.277824958,1.40577625,3.871687875
9,0.277496458,1.401912,3.864204667
10,0.277306375,1.417309958,3.852536208
11,0.279713458,1.3917005,3.86300225
12,0.276791167,1.418850459,3.879496084
13,0.277186958,1.391240416,3.871422875
14,0.276749125,1.40418625,3.873178542
15,0.277569292,1.404017209,3.876717959
16,0.278276125,1.408444834,3.87588025
17,0.280623167,1.401906125,3.818593
18,0.276915625,1.414794833,3.856669208
19,0.276934542,1.3826016669999999,3.866569416
20,0.293708583,1.447041666,3.896718375
21,0.277331291,1.414762083,3.846210541
22,0.27627925,1.411704042,3.879054792
23,0.277848708,1.401853708,3.872549541
24,0.278389708,1.405780542,3.89310175
25,0.277402625,1.436739833,3.8866975
26,0.276884292,1.384397125,3.860979833
27,0.276738667,1.405179625,3.872657958
28,0.278499666,1.419286042,3.8346011669999998
29,0.277594042,1.400770166,3.887807458
30,0.28417025,1.4260175,3.874558875
