ejec,is_t,ss_t,bs_t
1,0.381255625,1.901271792,5.34725025
2,0.383313,1.8524855,5.368500708
3,0.387871417,1.9009200000000002,5.368825875
4,0.376924833,1.9078425,5.380359916
5,0.394114125,1.909166792,5.354945542
6,0.389271417,1.889437875,5.360430084
7,0.387623584,1.896867167,5.325289041
8,0.39304525,1.89676425,5.329379334
9,0.376432833,1.873101167,5.3596520420000004
10,0.389398584,1.855869792,5.331562208
11,0.39080825,1.907550125,5.334775542
12,0.390366167,1.881873291,5.328387125
13,0.391017084,1.8541047910000001,5.28373375
14,0.389082417,1.874686541,5.304962708
15,0.389552959,1.869402875,5.275417417
16,0.388620834,1.864968625,5.262527542
17,0.3881475,1.866656541,5.267125542
18,0.390423667,1.877597666,5.342632209
19,0.389448125,1.885510167,5.3571870409999995
20,0.390355791,1.865922792,5.339414375
21,0.390294292,1.869228042,5.361562625
22,0.389884708,1.873059167,5.352295625
23,0.387556208,1.8963022920000001,5.324497042
24,0.389214458,1.8708355,5.340204416
25,0.39152025,1.861824792,5.349665084
26,0.391082667,1.883313792,5.354905375
27,0.392406083,1.8686216249999998,5.343460458
28,0.389821875,1.876412416,5.353424792
29,0.393056958,1.931951583,5.333901333
30,0.388857458,1.8968585,5.3537975
