ejec,is_t,ss_t,bs_t
1,0.000063042,0.000420083,0.000354833
2,0.000062125,0.00041925,0.000362959
3,0.000059041,0.000419167,0.000353375
4,0.000059792,0.000419083,0.000357333
5,0.00006025,0.000384959,0.000312792
6,0.000051542,0.0003665,0.000325167
7,0.000055833,0.000394291,0.000306084
8,0.000048667,0.000325709,0.000281917
9,0.000047208,0.000325667,0.000280666
10,0.000048458,0.000325333,0.000354291
11,0.000065375,0.000597667,0.000348417
12,0.000065709,0.000597125,0.000375042
13,0.000072167,0.00059875,0.000365333
14,0.000065416,0.000598333,0.000372458
15,0.000063708,0.000606792,0.000366417
16,0.000070584,0.000606958,0.000367917
17,0.000063292,0.000606167,0.000342875
18,0.000063792,0.000560291,0.0002935
19,0.000053166,0.000492,0.00028925
20,0.000055125,0.000488375,0.000302708
21,0.000050375,0.000488041,0.000290083
22,0.000054333,0.000512625,0.000287709
23,0.000051834,0.000495959,0.000274584
24,0.000053833,0.000511542,0.000290917
25,0.000051542,0.000452834,0.000249042
26,0.000046791,0.000419917,0.000254959
27,0.000044625,0.000417083,0.000257875
28,0.000044417,0.000429584,0.00025425
29,0.00004275,0.000415875,0.000240709
30,0.000045583,0.000430458,0.000256
