ejec,is_t,ss_t,bs_t
1,0.77088925,3.656341167,11.094259291
2,0.765787375,3.737445959,11.12963125
3,0.774122,3.659950625,11.059655084
4,0.781848416,3.668550375,11.083293041
5,0.780442792,3.663460917,11.160192583
6,0.77035525,3.664866666,11.06990425
7,0.772039125,3.6245062089999998,11.316712291
8,0.776223041,3.635735083,11.036439708
9,0.776741,3.636180625,11.03292875
10,0.774817333,3.617097125,10.98616175
11,0.7800655,3.674055166,11.023885333
12,0.774720625,3.643235834,11.04654225
13,0.777364417,3.80604825,11.214417125
14,0.773586625,3.729599541,11.360029
15,0.77291575,3.708486958,11.372438
16,0.792221959,3.849696959,11.396825459
17,0.798645167,3.666260292,11.2461575
18,0.766466875,3.631699083,11.256633041
19,0.771980875,3.736670958,11.354120125
20,0.840915583,3.715901833,11.281910290999999
21,0.806336125,3.775311791,11.342590625
22,0.792938375,3.726271375,11.354638917
23,0.794459666,3.695524,11.380230583
24,0.787395125,3.736414833,11.3597375
25,0.869759917,3.7482105,11.383889958
26,0.794894292,3.853331625,11.071154708
27,0.795137875,3.695366708,11.245390375
28,0.773225583,3.762141125,11.173521875
29,0.790053709,3.775293833,11.182109041
30,0.774629584,3.710842042,11.101542709
