ejec,is_t,ss_t,bs_t
1,0.625672542,3.017907625,8.983448166
2,0.6221345,3.021403708,8.945219083
3,0.622308042,3.058969459,9.007912542
4,0.625905084,3.04792975,8.965785667
5,0.621380375,2.981961166,8.987342625
6,0.619811292,2.978178459,8.967316291
7,0.624785,3.003093959,8.964844167
8,0.621452208,3.010057375,8.923463792
9,0.615658125,2.9994484999999997,8.972505375
10,0.61965475,3.020840125,8.971309917
11,0.626816541,3.037321166,8.931302875
12,0.620592416,3.020080375,8.985021208
13,0.624709667,3.051972375,8.992222917
14,0.622842916,3.030972292,8.958833917
15,0.633253875,3.026022042,8.946248
16,0.6193365,3.034854417,8.969377875
17,0.618900167,2.965156709,9.212070792
18,0.633448208,3.063182708,8.9212015
19,0.621371583,3.025579125,8.891474292
20,0.620113834,3.019209917,8.985329542
21,0.620656625,2.968377875,8.925246292
22,0.622112833,3.008558208,9.024440791
23,0.618305708,3.056232791,8.905516458
24,0.639485834,2.983247167,8.936879
25,0.619689541,3.000155625,8.911839709
26,0.620202667,3.012540041,8.957466292
27,0.617660041,3.018522375,8.944569375
28,0.622269209,3.06427125,8.947151458
29,0.6187525,3.016540916,8.910477041
30,0.617837833,2.984969167,8.90732625
