ejec,is_t,ss_t,bs_t
1,0.031610959,0.189816625,0.383369041
2,0.032137792,0.213115875,0.37086675
3,0.030711166,0.194839375,0.536325917
4,0.030862042,0.187306416,0.370950042
5,0.031028209,0.186847292,0.373135666
6,0.030752292,0.185037875,0.367949958
7,0.030622833,0.184964708,0.3654415
8,0.030598208,0.185195333,0.365509458
9,0.031443667,0.222250792,0.394679959
10,0.030696875,0.198239458,0.377525208
11,0.033303042,0.199558709,0.375341833
12,0.034144333,0.18818,0.369408625
13,0.030812709,0.186882666,0.370342
14,0.03120675,0.189134625,0.360653375
15,0.030795875,0.188318375,0.366001
16,0.030765958,0.186143125,0.356088792
17,0.031554292,0.193024708,0.416653458
18,0.032729875,0.197308166,0.376556333
19,0.030935958,0.193249583,0.381073417
20,0.031462375,0.185595834,0.43481725
21,0.034457917,0.187860209,0.37658575
22,0.030882125,0.189737958,0.373009042
23,0.030841083,0.189012333,0.364133416
24,0.030592,0.186704333,0.374352708
25,0.031055375,0.19163725,0.369487958
26,0.033120125,0.186037125,0.367885417
27,0.030846334,0.190816416,0.377695583
28,0.030536542,0.187538,0.369507334
29,0.030671584,0.185740041,0.368621792
30,0.030783833,0.187872,0.370583042
